city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
srinivaspur,13.3333,78.2167,70.81,73,94,17.56,IN,1627267353
henties bay,-22.116,14.2845,73.0,33,39,25.21,NA,1627267062
kpandu,6.9954,0.2931,71.01,86,22,6.67,GH,1627267353
mount isa,-20.7333,139.5,73.17,18,78,11.5,AU,1627266895
provideniya,64.3833,-173.3,51.91,76,90,4.47,RU,1627267354
namie,37.4833,141.0,84.72,63,100,13.4,JP,1627267354
atuona,-9.8,-139.0333,78.13,71,4,23.58,PF,1627267354
mogadishu,2.0371,45.3438,76.32,76,9,18.57,SO,1627267200
mawlaik,23.6333,94.4167,78.01,98,100,0.67,MM,1627267354
mahebourg,-20.4081,57.7,70.09,64,20,9.22,MU,1627267354
leningradskiy,69.3833,178.4167,38.84,87,99,6.02,RU,1627267355
grindavik,63.8424,-22.4338,48.15,100,90,23.02,IS,1627266924
tuatapere,-46.1333,167.6833,49.82,94,100,0.85,NZ,1627267355
pinawa,50.1489,-95.8811,65.77,53,42,1.83,CA,1627267355
avarua,-21.2078,-159.775,77.05,83,75,10.36,CK,1627266917
basco,20.4487,121.9702,82.49,88,100,28.03,PH,1627267355
qandala,11.472,49.8728,85.87,51,27,22.01,SO,1627267356
kodiak,57.79,-152.4072,56.71,72,1,9.22,US,1627266900
nouadhibou,20.931,-17.0347,69.78,88,20,14.97,MR,1627267356
samarai,-10.6167,150.6667,79.84,73,96,15.88,PG,1627267356
curuca,-0.7289,-47.8481,73.71,92,13,3.58,BR,1627267356
cape town,-33.9258,18.4232,57.61,44,0,6.91,ZA,1627266826
korla,41.7597,86.1469,94.53,11,0,12.77,CN,1627266978
san isidro,-12.1167,-77.05,62.26,88,90,3.0,PE,1627267020
east london,-33.0153,27.9116,58.33,27,28,7.02,ZA,1627266878
saskylakh,71.9167,114.0833,59.36,57,93,15.23,RU,1627266927
kaitangata,-46.2817,169.8464,52.93,80,100,4.12,NZ,1627267357
port alfred,-33.5906,26.891,59.83,31,62,12.44,ZA,1627267357
upernavik,72.7868,-56.1549,43.14,72,100,3.49,GL,1627266949
tuktoyaktuk,69.4541,-133.0374,50.0,81,75,8.05,CA,1627266894
naxos,37.1056,25.3764,76.59,74,0,5.01,GR,1627267293
yakima,46.4665,-120.6678,96.73,25,1,10.36,US,1627267110
dakar,14.6937,-17.4441,79.68,81,98,6.8,SN,1627267293
san jeronimo,-11.9472,-75.2829,45.41,78,14,2.48,PE,1627267025
mecca,21.4267,39.8261,84.06,38,35,4.92,SA,1627266804
tezu,27.9167,96.1667,81.55,94,100,0.22,IN,1627267007
ancud,-41.8697,-73.8203,38.73,78,16,7.4,CL,1627266888
hofn,64.2539,-15.2082,51.12,89,22,10.71,IS,1627267067
port hedland,-20.3167,118.5667,78.85,22,86,10.36,AU,1627267358
husavik,66.0449,-17.3389,49.91,66,0,15.35,IS,1627266894
naze,28.3667,129.4833,83.32,91,100,18.12,JP,1627267021
iisalmi,63.5592,27.1907,57.22,84,70,2.57,FI,1627267358
codajas,-3.8367,-62.0569,77.41,69,99,3.22,BR,1627267358
gunnedah,-30.9833,150.25,58.62,61,4,4.0,AU,1627267358
puerto madero,14.7208,-92.4215,82.94,75,46,5.46,MX,1627267358
kayerkan,69.3497,87.7602,58.69,84,96,6.29,RU,1627266952
hobyo,5.3505,48.5268,75.43,77,76,22.79,SO,1627266898
coquimbo,-29.9533,-71.3436,53.33,82,0,10.36,CL,1627267359
yumen,40.2833,97.2,85.98,20,4,14.23,CN,1627267359
zambezi,-13.5432,23.1047,49.78,55,0,7.56,ZM,1627267359
kerrville,30.0474,-99.1403,82.62,68,1,4.61,US,1627267034
petropavlovsk-kamchatskiy,53.0452,158.6483,77.59,57,0,6.71,RU,1627267039
bethel,41.3712,-73.414,74.8,91,0,2.57,US,1627266887
carnarvon,-24.8667,113.6333,64.47,58,75,8.05,AU,1627266889
baoning,25.3378,110.026,87.66,66,20,2.24,CN,1627267360
puerto baquerizo moreno,-0.9,-89.6,71.28,79,44,13.2,EC,1627267360
jijiga,9.35,42.8,58.62,81,96,18.48,ET,1627267360
coahuayana,18.7333,-103.6833,81.88,88,32,0.81,MX,1627266964
camacha,33.0833,-16.3333,70.54,94,75,9.22,PT,1627267360
hovd,48.0056,91.6419,70.7,45,19,4.83,MN,1627267361
lavrentiya,65.5833,-171.0,44.6,98,100,5.19,RU,1627266921
labuhan,-6.8844,112.2051,83.75,57,2,5.61,ID,1627266961
fort nelson,58.8053,-122.7002,72.99,40,20,3.44,CA,1627266720
teseney,15.11,36.6575,73.06,87,99,11.36,ER,1627267361
sibolga,1.7427,98.7792,84.88,65,66,2.73,ID,1627267361
richards bay,-28.783,32.0377,54.12,86,0,7.23,ZA,1627266882
sao jose da coroa grande,-8.8978,-35.1478,73.96,86,38,10.6,BR,1627266963
arraial do cabo,-22.9661,-42.0278,69.51,77,0,25.72,BR,1627266902
mahon,39.8885,4.2658,70.36,83,0,6.91,ES,1627266898
zhigansk,66.7697,123.3711,75.92,54,14,4.38,RU,1627267086
vila velha,-20.3297,-40.2925,64.35,94,0,0.0,BR,1627266934
uricani,45.3373,23.1524,60.12,77,90,2.13,RO,1627267361
requena,39.4883,-1.1004,70.0,93,76,3.67,ES,1627267362
kollam,8.8833,76.6,78.67,89,97,11.01,IN,1627267362
san patricio,28.017,-97.5169,84.09,77,3,9.15,US,1627267362
